,Mean,SD,Naive SE,Time-series SE,2.50%,25%,50%,75%,97.50%,,,,,,,,,,,
defFT[20],-0.0218,0.0259,0.0005,0.0006,-0.0743,-0.0395,-0.0214,-0.0045,0.0292,,,,,,,,,,,
defFT[21],-0.0594,0.0248,0.0005,0.0005,-0.1090,-0.0762,-0.0593,-0.0427,-0.0117,,,,,,,,,,,
defFT[22],-0.0784,0.0259,0.0005,0.0006,-0.1300,-0.0957,-0.0781,-0.0606,-0.0299,,,,,,,,,,,
defFT[23],-0.0908,0.0257,0.0005,0.0006,-0.1403,-0.1084,-0.0911,-0.0733,-0.0396,,,,,,,,,,,
defFT[24],0.0439,0.0240,0.0004,0.0005,-0.0034,0.0280,0.0443,0.0602,0.0907,,,,,,,,,,,
defFT[25],-0.0853,0.0245,0.0004,0.0005,-0.1343,-0.1014,-0.0852,-0.0687,-0.0374,,,,,,,,,,,
defFT[26],0.1468,0.0232,0.0004,0.0005,0.1025,0.1317,0.1468,0.1615,0.1934,,,,,,,,,,,
defFT[27],-0.2101,0.0277,0.0005,0.0007,-0.2650,-0.2285,-0.2106,-0.1921,-0.1554,,,,,,,,,,,
defFT[28],-0.1118,0.0252,0.0005,0.0006,-0.1609,-0.1287,-0.1116,-0.0945,-0.0643,,,,,,,,,,,
defFT[29],0.0827,0.0225,0.0004,0.0005,0.0393,0.0671,0.0827,0.0975,0.1268,,,,,,,,,,,
defFT[30],-0.0392,0.0255,0.0005,0.0006,-0.0908,-0.0563,-0.0391,-0.0217,0.0101,,,,,,,,,,,
homeFT,0.0640,0.0093,0.0002,0.0004,0.0458,0.0579,0.0641,0.0701,0.0823,,,,,,,,,,,
cFT,2.9061,0.0067,0.0001,0.0003,2.8926,2.9017,2.9060,2.9106,2.9193,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
att2PT[1],-0.0447,0.0195,0.0004,0.0005,-0.0834,-0.0579,-0.0444,-0.0316,-0.0075,,,,,,,,,,,
att2PT[2],0.0164,0.0181,0.0003,0.0004,-0.0174,0.0036,0.0163,0.0283,0.0528,,,,,,,,,,,
att2PT[3],-0.0438,0.0195,0.0004,0.0004,-0.0813,-0.0572,-0.0442,-0.0303,-0.0053,,,,,,,,,,,
att2PT[4],0.0575,0.0186,0.0003,0.0004,0.0207,0.0446,0.0576,0.0708,0.0920,,,,,,,,,,,
att2PT[5],-0.0483,0.0200,0.0004,0.0005,-0.0871,-0.0619,-0.0485,-0.0351,-0.0099,,,,,,,,,,,
att2PT[6],0.0206,0.0186,0.0003,0.0005,-0.0164,0.0080,0.0204,0.0336,0.0563,,,,,,,,,,,
att2PT[7],0.0002,0.0187,0.0003,0.0005,-0.0356,-0.0127,0.0002,0.0131,0.0363,,,,,,,,,,,
att2PT[8],0.0440,0.0189,0.0003,0.0004,0.0073,0.0310,0.0444,0.0570,0.0800,,,,,,,,,,,
att2PT[9],0.0659,0.0188,0.0003,0.0004,0.0290,0.0528,0.0653,0.0790,0.1026,,,,,,,,,,,
att2PT[10],-0.0620,0.0195,0.0004,0.0004,-0.1009,-0.0750,-0.0619,-0.0494,-0.0227,,,,,,,,,,,
att2PT[11],0.0336,0.0183,0.0003,0.0004,-0.0015,0.0208,0.0338,0.0460,0.0687,,,,,,,,,,,
att2PT[12],-0.0304,0.0192,0.0004,0.0004,-0.0702,-0.0430,-0.0300,-0.0173,0.0061,,,,,,,,,,,
att2PT[13],0.0888,0.0188,0.0003,0.0005,0.0519,0.0759,0.0886,0.1016,0.1258,,,,,,,,,,,
att2PT[14],-0.0139,0.0192,0.0004,0.0005,-0.0529,-0.0263,-0.0138,-0.0009,0.0231,,,,,,,,,,,
att2PT[15],-0.0128,0.0189,0.0003,0.0004,-0.0493,-0.0259,-0.0133,0.0001,0.0245,,,,,,,,,,,
att2PT[16],0.0013,0.0188,0.0003,0.0005,-0.0352,-0.0113,0.0015,0.0138,0.0384,,,,,,,,,,,
att2PT[17],-0.0228,0.0190,0.0003,0.0004,-0.0606,-0.0358,-0.0228,-0.0102,0.0143,,,,,,,,,,,
att2PT[18],-0.0831,0.0190,0.0003,0.0004,-0.1209,-0.0954,-0.0832,-0.0705,-0.0453,,,,,,,,,,,
att2PT[19],-0.0601,0.0193,0.0004,0.0004,-0.0981,-0.0734,-0.0602,-0.0468,-0.0221,,,,,,,,,,,
att2PT[20],-0.0507,0.0204,0.0004,0.0005,-0.0903,-0.0649,-0.0504,-0.0367,-0.0122,,,,,,,,,,,
att2PT[21],0.0629,0.0186,0.0003,0.0004,0.0280,0.0500,0.0626,0.0759,0.1000,,,,,,,,,,,
